Latence1;Latence2;Latence3;CPU1;RAM1;CPU2;RAM2;CPU3;RAM3;Coord1;Coord2
0.4893457439;0.2388000042;0.2802665625;0.67;0.5;0.84;0.6;0.29;0.8;3;0
0.4913081030;0.2753541162;0.3091401594;0.55;0.7;0.50;0.5;0.60;0.6;0;1
0.0628673708;0.2634131232;0.1988701602;0.19;0.6;0.34;0.6;0.36;0.3;1;3
0.1328653620;0.1313726671;0.1267841329;0.90;0.8;0.21;0.7;0.60;0.6;0;0
0.3066897920;0.2934201711;0.1956374012;0.64;0.6;0.12;0.6;0.41;0.7;2;5
0.4959023115;0.1524788307;0.3150717795;0.86;0.5;0.32;0.6;0.34;0.6;2;4
0.0690180030;0.2900890233;0.1552835279;0.63;0.7;0.44;0.8;0.61;0.3;2;2
0.2039958688;0.2104238741;0.2897172832;0.29;0.8;0.50;0.8;0.30;0.6;3;0
0.4237246753;0.1817970967;0.2697714803;0.17;0.4;0.77;0.7;0.32;0.5;2;4
0.3449379818;0.2827788751;0.2763128001;0.96;0.3;0.22;0.6;0.78;0.6;3;3
0.0664979901;0.2479442221;0.2355583365;0.44;0.6;0.38;0.7;0.41;0.7;1;5
0.3412210175;0.2509223419;0.2412592516;0.56;0.8;0.16;0.7;0.95;0.4;1;3
0.5834070328;0.2085053345;0.3606904174;0.78;0.8;0.51;0.5;0.95;0.4;5;2
0.4269589612;0.1726992976;0.3154530323;0.42;0.5;0.95;0.5;0.22;0.5;0;3
0.3715073948;0.1446231873;0.2122761962;0.23;0.7;0.57;0.5;0.85;0.8;1;5
0.3079832748;0.2679418856;0.2515438215;0.58;0.8;0.35;0.6;0.25;0.3;4;3
0.3402407471;0.2365646429;0.2433582303;0.81;0.4;0.21;0.7;0.66;0.5;5;5
0.2129036188;0.1594139122;0.3373307238;0.93;0.3;0.82;0.6;0.88;0.7;4;3
0.0798099731;0.2511128168;0.3284865147;0.61;0.4;0.96;0.4;0.46;0.7;5;4
0.5001915917;0.2925857550;0.1376538649;0.30;0.7;0.97;0.7;0.50;0.3;4;1
0.4081998469;0.2267525386;0.3014502528;0.33;0.6;0.90;0.7;0.84;0.6;4;2
0.2408632342;0.1741938959;0.3628182120;0.18;0.8;0.69;0.6;0.36;0.8;5;3
0.5536120870;0.1447253020;0.2272522540;0.91;0.8;0.85;0.6;0.85;0.3;1;1
0.4571297950;0.1194140108;0.0683869021;0.16;0.4;0.61;0.7;0.87;0.7;2;4
0.1684740156;0.1977689391;0.2837789872;0.33;0.5;0.92;0.7;0.90;0.6;5;2
0.0812006991;0.2651315170;0.3016282951;0.43;0.6;0.37;0.4;0.94;0.4;3;3
0.5616384594;0.2325696084;0.1965440927;0.16;0.4;0.96;0.6;0.87;0.5;4;4
0.4137414491;0.2368930751;0.2004361783;0.56;0.3;0.89;0.3;0.35;0.4;3;1
0.5712311567;0.2566469711;0.3448725833;0.45;0.8;0.64;0.6;0.73;0.8;0;0
0.5134504531;0.2450595061;0.3524775253;0.38;0.5;0.96;0.6;0.72;0.6;3;5
0.4582640653;0.2176142314;0.3097600951;0.52;0.7;0.36;0.7;0.75;0.3;3;5
0.0830601522;0.1809658670;0.2512578034;0.28;0.8;0.86;0.5;0.57;0.4;1;3
0.1668140363;0.2113140477;0.1250661736;0.44;0.4;0.82;0.8;0.72;0.8;3;3
0.3019439117;0.1945274027;0.2220498291;0.16;0.7;0.13;0.5;0.96;0.8;3;4
0.0965073751;0.2790132955;0.3082326764;0.23;0.7;0.21;0.7;0.60;0.4;5;2
0.4135911357;0.1080480904;0.1718091439;0.11;0.4;0.16;0.6;0.41;0.7;2;5
0.1815259691;0.2806498399;0.1437154345;0.68;0.4;0.63;0.6;0.85;0.6;0;2
0.2662650701;0.1241382232;0.1572170806;0.43;0.5;0.51;0.4;0.87;0.5;5;2
0.3494634847;0.2067181022;0.1116428231;0.94;0.7;0.12;0.6;0.47;0.6;0;4
0.5516685637;0.1698744393;0.2191318789;0.84;0.7;0.56;0.6;0.85;0.3;5;2
0.5562826578;0.2463837104;0.2817735274;0.16;0.4;0.30;0.5;0.92;0.8;4;3
0.4701994458;0.1145828477;0.3307295327;0.41;0.7;0.13;0.8;0.46;0.8;0;1
0.2418137433;0.1980940568;0.1167360686;0.72;0.8;0.27;0.6;0.10;0.6;3;5
0.2934667673;0.2050453972;0.1160033702;0.36;0.5;0.28;0.7;0.38;0.4;2;3
0.2035528749;0.1413945775;0.0664815227;0.11;0.3;0.71;0.7;0.17;0.4;3;4
0.5650234909;0.1780874759;0.0816275702;0.72;0.6;0.86;0.4;0.67;0.6;4;1
0.4715176405;0.1587367980;0.2319785045;0.41;0.5;0.60;0.6;0.70;0.4;4;0
0.2576570570;0.2537258664;0.2754820890;0.40;0.7;0.50;0.7;0.77;0.6;2;2
0.4032554307;0.1238082884;0.2185017700;0.89;0.5;0.40;0.6;0.41;0.8;0;1
0.5707942696;0.2777815661;0.1369351909;0.41;0.8;0.46;0.4;0.80;0.3;5;4
0.5166181687;0.2091883263;0.1044106854;0.63;0.4;0.63;0.4;0.63;0.7;5;0
0.1919213415;0.1625359639;0.1202792621;0.56;0.8;0.24;0.6;0.55;0.5;5;4
0.4213723697;0.1152577910;0.3164909178;0.30;0.6;0.66;0.5;0.47;0.8;4;2
0.4869639341;0.1619966218;0.1077847809;0.62;0.4;0.30;0.8;0.12;0.3;0;3
0.5854911459;0.2078864980;0.3509137752;0.40;0.4;0.50;0.8;0.77;0.6;0;5
0.0661008697;0.2556564204;0.3461894294;0.13;0.5;0.39;0.5;0.50;0.7;2;5
0.0857333888;0.2816069705;0.2564728115;0.69;0.4;0.95;0.5;0.39;0.7;4;4
0.5866605842;0.1990523427;0.3314871164;0.59;0.8;0.38;0.7;0.59;0.8;3;5
0.2862080936;0.2478429959;0.2498634630;0.22;0.4;0.93;0.5;0.58;0.6;5;4
0.4838861976;0.2127649997;0.3337064582;0.90;0.5;0.60;0.4;0.30;0.7;2;3
0.3942686553;0.2352383302;0.2126084363;0.89;0.6;0.94;0.6;0.44;0.7;1;1
0.5082724477;0.1539499656;0.3487717710;0.17;0.6;0.48;0.5;0.92;0.4;5;0
0.4681300840;0.1158048212;0.0972740210;0.85;0.4;0.20;0.8;0.26;0.5;4;3
0.1761602277;0.1957589803;0.2789319851;0.60;0.4;0.83;0.4;0.51;0.8;4;4
0.1934533813;0.2246353683;0.1808953740;0.19;0.4;0.63;0.7;0.83;0.6;4;4
0.4749986569;0.2269852164;0.3405515363;0.20;0.4;0.11;0.4;0.95;0.8;2;2
0.1024281005;0.1474963829;0.2081740579;0.71;0.4;0.80;0.4;0.19;0.7;4;5
0.2495177717;0.2241330183;0.2926680537;0.54;0.7;0.47;0.8;0.63;0.6;0;3
0.3285026037;0.2733081658;0.3461986904;0.20;0.7;0.14;0.5;0.53;0.6;5;4
0.3678833075;0.1781729694;0.2301503156;0.62;0.4;0.57;0.5;0.29;0.4;2;3
0.2873285901;0.1705211244;0.1757651854;0.19;0.7;0.17;0.5;0.27;0.6;4;3
0.5175753978;0.2722375132;0.2010368338;0.62;0.5;0.89;0.3;0.11;0.8;1;5
0.0833792021;0.1583820262;0.1229872704;0.39;0.7;0.53;0.4;0.33;0.8;3;3
0.2460007173;0.1549483634;0.2430927114;0.56;0.6;0.18;0.6;0.24;0.5;2;2
0.5157526088;0.2199713118;0.2919796783;0.18;0.5;0.53;0.4;0.54;0.7;5;3
0.1228117329;0.2137690046;0.2868741490;0.44;0.4;0.57;0.8;0.16;0.4;2;3
0.5641526031;0.1195357131;0.1410815556;0.11;0.6;0.91;0.5;0.69;0.5;5;4
0.1866113960;0.1175130991;0.2298383242;0.72;0.4;0.17;0.4;0.77;0.6;1;1
0.5270481817;0.1719326322;0.3017797323;0.16;0.5;0.73;0.4;0.78;0.7;4;1
0.2235559505;0.2338719393;0.2278041460;0.75;0.6;0.10;0.3;0.44;0.5;5;0
0.0630078148;0.2938843069;0.1665339716;0.77;0.7;0.11;0.4;0.27;0.7;2;2
0.2803622221;0.1524714022;0.2775994802;0.74;0.4;0.35;0.5;0.24;0.6;1;1
0.3617379788;0.2431645623;0.1407898302;0.86;0.7;0.10;0.5;0.42;0.8;3;2
0.5241879616;0.1281089733;0.3107626879;0.46;0.5;0.90;0.3;0.68;0.7;4;2
0.1272850866;0.2108155797;0.3624788277;0.82;0.6;0.12;0.5;0.40;0.6;4;0
0.5769183321;0.2795179192;0.3241930276;0.49;0.7;0.22;0.6;0.12;0.6;3;3
0.1522175361;0.2451776828;0.3470946214;0.78;0.6;0.68;0.7;0.95;0.3;1;4
0.2710285185;0.2603145726;0.3158317575;0.39;0.6;0.30;0.6;0.38;0.4;0;2
0.4174369023;0.2197814520;0.3255345608;0.57;0.5;0.61;0.8;0.66;0.3;4;4
0.4492991992;0.2858535127;0.3225857052;0.64;0.4;0.64;0.5;0.81;0.4;5;2
0.2383735531;0.1830796706;0.3549160110;0.37;0.5;0.77;0.7;0.19;0.4;3;5
0.2956318440;0.2064854069;0.2866377890;0.54;0.8;0.36;0.7;0.60;0.6;5;4
0.2106658306;0.2446252828;0.1490346757;0.36;0.8;0.29;0.5;0.96;0.6;1;3
0.5413309215;0.2503281049;0.2696022227;0.57;0.7;0.28;0.3;0.19;0.7;4;3
0.5453708426;0.2740517125;0.2884800219;0.38;0.6;0.53;0.4;0.68;0.5;3;5
0.4258944863;0.2790929406;0.3288544358;0.88;0.5;0.26;0.5;0.56;0.3;2;1
0.3616609395;0.2177081568;0.3423661501;0.20;0.7;0.14;0.8;0.38;0.8;4;3
0.1998643182;0.2097668315;0.1267024013;0.84;0.8;0.27;0.7;0.43;0.6;3;4
0.1665381784;0.1423669939;0.1345443281;0.64;0.6;0.87;0.5;0.44;0.4;4;5
0.2869178027;0.2356963922;0.2375132104;0.36;0.4;0.91;0.8;0.24;0.7;3;5
0.0760054867;0.2652177916;0.1727643295;0.43;0.8;0.27;0.4;0.51;0.7;1;5
0.5778513884;0.1695610186;0.2683394542;0.23;0.4;0.44;0.5;0.31;0.4;4;5
0.1703159170;0.1874325986;0.1976193021;0.97;0.7;0.44;0.7;0.27;0.3;3;1
0.4661207090;0.1938297534;0.1717841346;0.42;0.6;0.72;0.5;0.45;0.5;4;1
0.4705678393;0.2492996090;0.2056636159;0.33;0.7;0.29;0.5;0.11;0.7;4;0
0.1334401225;0.1258119347;0.1345873263;0.87;0.8;0.14;0.3;0.46;0.6;1;4
0.5162410038;0.1080142983;0.1244072316;0.27;0.6;0.85;0.8;0.48;0.7;5;1
0.2864679952;0.1736155926;0.1950483891;0.80;0.5;0.12;0.4;0.46;0.7;4;3
0.1435716929;0.2847336736;0.2495426030;0.44;0.6;0.56;0.6;0.54;0.7;2;1
0.1517498447;0.1528289141;0.3019245392;0.78;0.5;0.50;0.4;0.41;0.5;1;0
0.4669806591;0.1743067123;0.2715021898;0.52;0.7;0.76;0.6;0.57;0.7;5;2
0.2696979883;0.1475559665;0.2882358090;0.18;0.4;0.95;0.4;0.22;0.5;5;0
0.1160614638;0.2668641497;0.2757067760;0.90;0.5;0.36;0.3;0.77;0.3;1;1
0.2235744824;0.2867759606;0.1172618482;0.47;0.4;0.78;0.4;0.30;0.6;1;2
0.4402331024;0.2024030852;0.3302964269;0.75;0.5;0.68;0.5;0.94;0.7;0;4
0.4909743885;0.1160983271;0.3442896946;0.57;0.3;0.61;0.8;0.63;0.7;3;0
0.2379129570;0.2190432235;0.1002540405;0.73;0.5;0.11;0.5;0.55;0.6;2;3
0.0924809007;0.2462562680;0.1998736764;0.35;0.4;0.40;0.7;0.54;0.8;2;1
0.3612850656;0.1269761201;0.2120413381;0.94;0.4;0.20;0.8;0.17;0.6;3;0
0.5368088048;0.2875945089;0.0966661503;0.17;0.7;0.34;0.5;0.85;0.5;4;2
0.2878973801;0.1292427221;0.1301058188;0.69;0.4;0.25;0.6;0.11;0.7;2;0
0.2949537270;0.1435781652;0.3283121352;0.12;0.8;0.24;0.6;0.87;0.5;5;1
0.1833516954;0.1825739955;0.2339870909;0.45;0.5;0.83;0.5;0.65;0.6;0;3
0.5014058350;0.2107293127;0.3083756730;0.82;0.6;0.77;0.4;0.52;0.6;0;5
0.2605147149;0.2181781944;0.0733406265;0.61;0.5;0.75;0.7;0.59;0.6;4;1
0.2425632619;0.2250060135;0.1578442098;0.48;0.7;0.67;0.6;0.25;0.6;2;4
0.3249047094;0.1561173810;0.1455679461;0.38;0.7;0.62;0.7;0.54;0.7;5;2
0.2829284399;0.2704593900;0.2597313396;0.17;0.5;0.32;0.4;0.93;0.6;3;2
0.5097771813;0.1374657204;0.3609465998;0.37;0.8;0.87;0.6;0.40;0.3;2;3
0.3153004500;0.2790454036;0.1480310807;0.97;0.6;0.69;0.7;0.85;0.6;5;1
0.1663683142;0.1314803546;0.1362669617;0.74;0.6;0.61;0.7;0.38;0.7;5;2
0.4717944073;0.2555923948;0.2821373558;0.68;0.7;0.51;0.8;0.30;0.4;3;0
0.2099920262;0.1872930423;0.1109691452;0.60;0.7;0.38;0.8;0.14;0.5;2;2
0.2121911747;0.1234938295;0.3542325801;0.82;0.4;0.77;0.6;0.44;0.8;1;0
0.1735849004;0.1453076519;0.1243153289;0.50;0.5;0.59;0.5;0.20;0.3;1;1
0.2964895496;0.1629363124;0.2152787380;0.70;0.5;0.24;0.6;0.41;0.6;2;5
0.4840592253;0.2646032832;0.2678095427;0.22;0.6;0.34;0.8;0.27;0.7;0;4
0.1020418926;0.1913236038;0.2750318277;0.32;0.6;0.62;0.7;0.10;0.3;3;0
0.1769062175;0.1671576287;0.3100018758;0.79;0.5;0.88;0.6;0.38;0.4;3;5
0.3003187691;0.2256213527;0.1248077594;0.22;0.8;0.58;0.3;0.76;0.5;3;2
0.2270861472;0.2542503843;0.2268992838;0.93;0.7;0.64;0.6;0.89;0.4;2;2
0.3501188693;0.2049350241;0.1281388734;0.87;0.7;0.52;0.8;0.18;0.6;0;2
0.1062844051;0.1863045749;0.2728012963;0.27;0.7;0.93;0.6;0.64;0.5;4;2
0.4727908461;0.1448390226;0.3111639205;0.15;0.5;0.45;0.4;0.90;0.5;3;2
0.2309148175;0.1797680792;0.2505588850;0.85;0.5;0.56;0.4;0.73;0.3;4;1
0.1494680545;0.2690082861;0.2688035529;0.31;0.6;0.42;0.6;0.69;0.3;5;2
0.4112838148;0.2452416558;0.1017352565;0.84;0.7;0.81;0.7;0.72;0.6;0;0
0.3547088577;0.2141560525;0.1874930010;0.27;0.6;0.86;0.6;0.35;0.5;3;1
0.3218213210;0.2544133286;0.2745062253;0.36;0.7;0.28;0.6;0.43;0.4;0;5
0.4173776640;0.1288942928;0.2111288025;0.63;0.5;0.43;0.7;0.39;0.4;0;2
0.4871823819;0.2304128442;0.3302853316;0.26;0.3;0.90;0.4;0.27;0.6;5;3
0.0860693449;0.2769938261;0.1599714372;0.43;0.5;0.78;0.8;0.38;0.3;3;1
0.0843783086;0.2047588661;0.2841168628;0.68;0.5;0.68;0.3;0.90;0.4;1;2
0.2385149567;0.1105840565;0.3070385901;0.89;0.5;0.11;0.6;0.68;0.7;3;4
0.3296555885;0.1452831552;0.1690791077;0.13;0.5;0.85;0.7;0.50;0.4;5;3
0.3391892497;0.2791824324;0.1261847304;0.52;0.7;0.78;0.4;0.68;0.5;5;3
0.5617907213;0.1929567445;0.2461912362;0.80;0.7;0.55;0.8;0.38;0.5;1;2
0.3784609918;0.2793378803;0.2968035187;0.82;0.4;0.73;0.7;0.86;0.5;0;4
0.0927430323;0.2268129374;0.1742168719;0.17;0.4;0.53;0.3;0.80;0.4;5;1
0.5623952793;0.2462754670;0.2359236763;0.65;0.7;0.48;0.7;0.86;0.7;0;3
0.5269325416;0.2489049734;0.1485580285;0.55;0.7;0.13;0.6;0.27;0.6;3;0
0.3099620331;0.1445384176;0.2251305505;0.45;0.7;0.42;0.5;0.91;0.4;4;0
0.5050954551;0.2005726573;0.0964547378;0.70;0.5;0.37;0.4;0.21;0.4;0;2
0.4393400393;0.1715814297;0.3431017444;0.87;0.6;0.25;0.4;0.18;0.5;1;3
0.2427387252;0.2919643287;0.2344767261;0.20;0.4;0.43;0.4;0.76;0.3;4;4
0.2246154841;0.1474790442;0.2142933132;0.82;0.5;0.54;0.7;0.12;0.7;3;1
0.2881054038;0.1860885742;0.2534488409;0.39;0.5;0.84;0.5;0.44;0.3;5;5
0.1123128437;0.1750665266;0.2188449283;0.19;0.3;0.91;0.7;0.15;0.8;5;1
0.1407247858;0.1258912843;0.1013497492;0.84;0.6;0.41;0.5;0.73;0.7;3;2
0.2027390931;0.1460627432;0.3377022273;0.50;0.6;0.10;0.3;0.72;0.7;4;0
0.5292359481;0.2144695145;0.1687986061;0.36;0.5;0.73;0.7;0.69;0.4;0;2
0.2251461616;0.1273375953;0.2485945961;0.87;0.3;0.24;0.6;0.21;0.7;5;3
0.0841006088;0.2622111382;0.2523455668;0.84;0.5;0.56;0.6;0.29;0.8;4;5
0.2813805612;0.2293709792;0.0672136888;0.59;0.6;0.41;0.4;0.90;0.3;5;0
0.5398366678;0.1812998339;0.3102529467;0.21;0.6;0.45;0.6;0.60;0.7;3;3
0.1912883830;0.2052799090;0.1898994810;0.39;0.4;0.85;0.5;0.65;0.8;0;2
0.1215117328;0.2667376904;0.3081063978;0.33;0.8;0.66;0.7;0.83;0.6;2;2
0.4148023427;0.2868014985;0.2665309513;0.68;0.8;0.58;0.4;0.94;0.6;1;5
0.3018433541;0.1967898297;0.2077304408;0.67;0.3;0.72;0.6;0.35;0.5;1;4
0.3231064671;0.1770040426;0.1137007741;0.96;0.5;0.54;0.5;0.94;0.6;5;2
0.3121388392;0.1270177568;0.2454208064;0.79;0.4;0.14;0.5;0.76;0.7;4;5
0.1605645945;0.1229856921;0.2967669226;0.49;0.5;0.54;0.5;0.75;0.7;2;5
0.1274654336;0.1519755674;0.2964889016;0.30;0.4;0.38;0.4;0.32;0.6;2;2
0.1716877398;0.1852512682;0.0978028266;0.95;0.5;0.80;0.6;0.38;0.7;4;2
0.4147613714;0.1618383200;0.2956923331;0.42;0.5;0.60;0.4;0.55;0.7;3;0
0.4439015130;0.2007330355;0.1822194518;0.61;0.6;0.59;0.8;0.92;0.5;0;1
0.5164077850;0.1989056323;0.3208036594;0.58;0.4;0.11;0.5;0.50;0.3;1;0
0.1280211694;0.2335642733;0.2102563897;0.64;0.4;0.47;0.4;0.44;0.4;5;4
0.4258434980;0.1679142415;0.3020791948;0.85;0.3;0.13;0.5;0.25;0.6;1;0
0.3385927227;0.1299877714;0.2315759607;0.74;0.5;0.75;0.4;0.79;0.7;5;4
0.4834007759;0.2141653780;0.1123035180;0.81;0.4;0.94;0.7;0.46;0.3;3;2
0.5354896129;0.1296882215;0.2876043373;0.43;0.4;0.42;0.6;0.48;0.5;5;1
0.1361732660;0.2002891428;0.3148900760;0.32;0.7;0.42;0.5;0.55;0.5;3;0
0.3546038425;0.1826973867;0.3467797251;0.77;0.8;0.15;0.6;0.30;0.4;0;0
0.3267139845;0.1407363809;0.3380546577;0.11;0.7;0.29;0.6;0.52;0.7;1;1
0.5813086898;0.2901187560;0.1655127329;0.94;0.7;0.23;0.3;0.21;0.7;3;5
0.5590959499;0.1726318278;0.3217607112;0.18;0.4;0.50;0.4;0.80;0.7;0;2
0.1174445238;0.1480617813;0.1248158299;0.34;0.6;0.48;0.7;0.54;0.5;5;4
0.1369405197;0.2344219264;0.1328923720;0.49;0.8;0.14;0.8;0.34;0.6;0;4
0.2973278364;0.1862681915;0.1441531757;0.69;0.5;0.19;0.5;0.17;0.4;4;5
0.5007652979;0.2556774893;0.3308327551;0.93;0.6;0.62;0.3;0.33;0.4;3;5
0.5126990661;0.1955352092;0.1354484350;0.12;0.6;0.25;0.8;0.41;0.8;3;0
0.3517055759;0.2348034640;0.0662294813;0.24;0.5;0.21;0.6;0.61;0.7;5;4
0.2510609350;0.2901106721;0.0898707975;0.96;0.7;0.92;0.4;0.77;0.7;1;4
0.1269356439;0.1705697280;0.0889768102;0.77;0.5;0.30;0.5;0.13;0.8;4;5
0.1700250428;0.2337860091;0.0699857649;0.61;0.4;0.96;0.5;0.68;0.4;1;3
0.2028067632;0.2563432283;0.2581086615;0.95;0.6;0.93;0.6;0.16;0.4;4;2
0.4450650630;0.2273238189;0.2207068783;0.22;0.7;0.33;0.7;0.74;0.6;1;2
0.4062153116;0.2262721396;0.2943112227;0.15;0.5;0.45;0.5;0.44;0.5;4;0
0.1530542745;0.2771046398;0.2740334765;0.59;0.4;0.13;0.7;0.67;0.5;1;4
0.4540017916;0.2819157915;0.0873125006;0.88;0.6;0.55;0.6;0.23;0.4;5;5
0.4469350747;0.2646978134;0.2225613048;0.88;0.5;0.19;0.4;0.87;0.7;3;0
0.3887733538;0.1179905259;0.2192545417;0.11;0.5;0.69;0.5;0.11;0.5;2;5
0.1965558898;0.2017595797;0.0916662583;0.94;0.6;0.49;0.4;0.71;0.6;2;1
0.1240304104;0.1520291562;0.3497298414;0.11;0.6;0.46;0.8;0.62;0.7;3;5
0.3845255905;0.2515089610;0.1989151305;0.19;0.3;0.11;0.8;0.39;0.7;1;3
0.4541185088;0.2847565156;0.3226789938;0.72;0.6;0.44;0.3;0.90;0.5;4;2
0.2001077057;0.2037659582;0.2654260306;0.19;0.7;0.25;0.7;0.25;0.4;0;3
0.5213746504;0.2539311901;0.2488666027;0.20;0.5;0.70;0.3;0.48;0.3;1;3
0.5643021404;0.2744691522;0.3336429217;0.83;0.6;0.31;0.6;0.49;0.5;3;1
0.1065914088;0.1955594056;0.1035947113;0.86;0.3;0.93;0.6;0.49;0.6;2;1
0.1667085731;0.2232639029;0.1930931372;0.24;0.7;0.33;0.4;0.56;0.5;1;2
0.4701817553;0.1441731488;0.2116491561;0.41;0.8;0.96;0.6;0.91;0.7;2;5
0.4311788447;0.2133811840;0.1571483115;0.52;0.6;0.57;0.6;0.29;0.5;5;3
0.2602452892;0.2652331564;0.1022633253;0.34;0.4;0.74;0.5;0.82;0.8;1;5
0.1233206902;0.2703668150;0.1804193325;0.12;0.4;0.60;0.7;0.33;0.4;1;3
0.3268925497;0.2547400143;0.0952276164;0.37;0.7;0.32;0.6;0.69;0.8;2;5
0.3037577320;0.1218079794;0.2020767373;0.19;0.7;0.91;0.5;0.73;0.5;3;1
0.5185857685;0.1930709214;0.2428625510;0.93;0.8;0.58;0.3;0.25;0.6;3;1
0.3991071668;0.2363529819;0.0755931551;0.19;0.4;0.68;0.5;0.74;0.6;1;3
0.1655163971;0.2125990313;0.2504488126;0.79;0.4;0.18;0.5;0.66;0.5;3;1
0.3259147171;0.1245968804;0.2984959908;0.32;0.6;0.65;0.8;0.83;0.8;5;5
0.5067083401;0.2912650035;0.1287720217;0.35;0.4;0.62;0.5;0.52;0.4;0;3
0.4709335685;0.2696522998;0.1996933051;0.62;0.5;0.34;0.7;0.92;0.5;5;3
0.1933203732;0.1873401764;0.0743641213;0.40;0.7;0.22;0.4;0.17;0.5;0;2
0.1296419444;0.2266307243;0.2180353622;0.93;0.8;0.77;0.6;0.78;0.8;1;2
0.4220462071;0.2809411058;0.2424478357;0.44;0.4;0.36;0.6;0.70;0.5;5;5
0.5083040622;0.1155373559;0.2753087401;0.26;0.4;0.38;0.6;0.21;0.8;3;1
0.2369173437;0.2638151693;0.2256094318;0.19;0.4;0.67;0.8;0.21;0.7;2;5
0.5535841705;0.2719461797;0.3417388354;0.42;0.6;0.90;0.8;0.91;0.6;5;2
0.3548736468;0.1332550482;0.1126134299;0.37;0.4;0.87;0.7;0.62;0.4;0;4
0.3460853502;0.2493070858;0.3192702523;0.13;0.5;0.44;0.7;0.43;0.4;5;5
0.0676905026;0.1433981507;0.2480520712;0.41;0.5;0.82;0.7;0.18;0.4;5;3
0.1927737866;0.1999410853;0.3385953358;0.20;0.5;0.84;0.4;0.62;0.4;4;2
0.4088550789;0.2584731255;0.2522969925;0.74;0.3;0.95;0.7;0.82;0.8;4;5
0.1551381871;0.1531845413;0.2261290733;0.14;0.7;0.86;0.7;0.77;0.4;4;2
0.3990525546;0.1616126251;0.2260771401;0.38;0.6;0.85;0.7;0.35;0.7;2;1
0.3024752269;0.2247417296;0.2853309574;0.30;0.7;0.16;0.6;0.43;0.5;1;5
0.1382028281;0.2360814345;0.2376362843;0.52;0.7;0.74;0.4;0.22;0.8;4;3
0.5775671062;0.1443730407;0.2029536154;0.17;0.7;0.40;0.6;0.29;0.5;0;3
0.1109202842;0.2660931268;0.3457602449;0.24;0.3;0.89;0.6;0.32;0.5;4;4
0.1333111580;0.2474728312;0.1194996254;0.73;0.3;0.62;0.6;0.13;0.7;0;4
0.1264766536;0.1659031049;0.2294924523;0.81;0.7;0.43;0.3;0.68;0.5;5;2
