Latence1;Latence2;Latence3;CPU1;RAM1;CPU2;RAM2;CPU3;RAM3;Coord1;Coord2;CoordCar1;CoordCar2
0.5446918655;0.1793955506;0.3088055458;0.27;0.4;0.79;0.5;0.91;0.7;2;4;4;3
0.1065195221;0.2295941655;0.3603297612;0.18;0.7;0.21;0.4;0.10;0.5;3;2;2;4
0.3832887943;0.2350460572;0.2127488329;0.34;0.7;0.94;0.6;0.75;0.4;2;4;3;1
0.2410435560;0.2282621657;0.1970919552;0.59;0.5;0.13;0.6;0.47;0.7;2;4;2;2
0.5818314845;0.2371481251;0.1754128427;0.69;0.7;0.95;0.3;0.92;0.8;4;4;3;2
0.5098781483;0.2264656071;0.1805284520;0.33;0.7;0.57;0.5;0.71;0.6;2;2;2;4
0.4241046392;0.2165363521;0.1145476965;0.85;0.5;0.32;0.6;0.57;0.7;3;3;3;4
0.1953915237;0.2918267371;0.3614932382;0.35;0.8;0.83;0.5;0.27;0.5;3;1;3;2
0.4799915244;0.2117850473;0.3079961848;0.27;0.8;0.60;0.4;0.17;0.5;4;4;4;1
0.4662211251;0.2172944162;0.3212370705;0.94;0.6;0.20;0.5;0.24;0.8;4;1;1;1
0.5061493257;0.1270563377;0.0887780049;0.18;0.4;0.35;0.7;0.69;0.5;2;2;3;2
0.2784684860;0.1241356758;0.0948324634;0.17;0.3;0.44;0.4;0.35;0.5;2;1;4;4
0.2204237294;0.1463913371;0.2491756009;0.59;0.5;0.30;0.5;0.33;0.7;4;4;2;2
0.1864419812;0.2191190338;0.2333393010;0.33;0.8;0.79;0.4;0.58;0.7;2;4;3;2
0.4389150359;0.2345428754;0.1736648201;0.37;0.4;0.62;0.7;0.48;0.3;3;3;1;3
0.0782224935;0.2799794993;0.2940545273;0.64;0.6;0.25;0.6;0.12;0.4;2;1;2;4
0.4216848459;0.2086979884;0.2536616494;0.56;0.8;0.80;0.4;0.86;0.4;1;4;4;2
0.3192904951;0.2733952884;0.2177699205;0.48;0.4;0.57;0.5;0.41;0.6;2;4;3;2
0.5415235525;0.1081641555;0.1461659024;0.75;0.7;0.54;0.7;0.43;0.5;4;3;4;3
0.4364681029;0.2150788130;0.2455990571;0.73;0.8;0.20;0.4;0.48;0.6;1;3;1;1
0.2563834468;0.2703176739;0.2910973375;0.17;0.7;0.19;0.3;0.59;0.5;3;1;1;1
0.1525121982;0.2178927771;0.2307919045;0.30;0.8;0.74;0.6;0.29;0.7;2;2;4;2
0.3674357992;0.2745525972;0.2309131180;0.21;0.6;0.78;0.4;0.95;0.5;1;1;1;2
0.3087052124;0.1307196079;0.2481658095;0.56;0.5;0.91;0.4;0.97;0.4;4;1;3;4
0.1623057019;0.2909815812;0.3088879054;0.23;0.5;0.77;0.3;0.12;0.3;4;4;1;1
0.5276427634;0.1218113873;0.1674366823;0.17;0.7;0.18;0.6;0.60;0.7;4;3;1;2
0.1118971980;0.2285661306;0.3327895697;0.77;0.5;0.27;0.5;0.95;0.5;2;4;1;3
0.0666038404;0.2207417448;0.2115936386;0.15;0.4;0.76;0.8;0.57;0.4;3;1;3;3
0.2925232596;0.1775094658;0.2434286251;0.10;0.7;0.53;0.5;0.38;0.4;3;2;1;4
0.4235012650;0.1182952910;0.1773791244;0.71;0.8;0.68;0.6;0.52;0.4;4;3;1;2
0.2504328537;0.1591724900;0.3309574294;0.89;0.8;0.91;0.8;0.62;0.5;3;3;3;4
0.0759549376;0.2313342022;0.3052771994;0.68;0.3;0.67;0.4;0.43;0.5;1;1;3;2
0.1092297987;0.1286119571;0.1352146001;0.13;0.5;0.82;0.8;0.55;0.4;3;1;3;3
0.4947373582;0.2445590916;0.3231317703;0.90;0.3;0.26;0.8;0.40;0.6;1;3;2;4
0.5365425700;0.2634135658;0.2257226760;0.32;0.5;0.21;0.5;0.76;0.6;3;1;3;2
0.1854373337;0.2048116169;0.0821407108;0.70;0.4;0.96;0.4;0.37;0.6;2;4;3;1
0.5447239665;0.2261407532;0.2859778697;0.57;0.7;0.29;0.3;0.34;0.6;4;3;4;3
0.5365021160;0.2275641819;0.0817241248;0.29;0.7;0.46;0.5;0.86;0.6;2;3;2;1
0.2214214113;0.1833910404;0.2655502997;0.63;0.4;0.95;0.5;0.46;0.4;4;4;4;1
0.3800224179;0.1920460233;0.0880230297;0.68;0.3;0.79;0.7;0.95;0.6;1;4;1;2
0.5671552693;0.2373995602;0.2937637227;0.24;0.8;0.30;0.3;0.23;0.6;1;2;4;1
0.2082211114;0.2717785136;0.1282298493;0.87;0.3;0.71;0.4;0.39;0.7;1;1;1;1
0.3647323491;0.1730308339;0.0788321268;0.28;0.6;0.86;0.6;0.45;0.4;4;3;3;1
0.3774908143;0.2724985824;0.2257219748;0.31;0.4;0.22;0.7;0.85;0.4;3;4;2;3
0.5021467622;0.1679104262;0.1692234673;0.17;0.6;0.41;0.4;0.68;0.8;1;4;1;3
0.4653725875;0.2016342736;0.2497508030;0.35;0.4;0.53;0.5;0.45;0.4;1;1;2;4
0.2685628718;0.2770685550;0.2913753711;0.96;0.7;0.36;0.4;0.38;0.7;1;3;1;4
0.2527118264;0.2346166510;0.2449613948;0.68;0.5;0.22;0.6;0.78;0.5;1;4;3;1
0.2967470652;0.2937871513;0.2249322408;0.27;0.7;0.81;0.6;0.50;0.8;4;4;4;4
0.2253249242;0.1543685017;0.0664730683;0.88;0.5;0.20;0.7;0.97;0.3;2;1;4;4
0.2677671064;0.2199647198;0.1172437776;0.74;0.4;0.80;0.3;0.65;0.7;3;3;2;1
0.4823281042;0.1941661597;0.1336447860;0.35;0.5;0.26;0.6;0.91;0.6;1;4;3;4
0.1837878429;0.1142339606;0.1699613753;0.44;0.6;0.71;0.5;0.82;0.5;2;3;2;3
0.0630750961;0.2562638024;0.1364910736;0.90;0.4;0.44;0.4;0.62;0.7;2;2;1;1
0.1020956495;0.2042902890;0.1906123359;0.56;0.7;0.62;0.6;0.54;0.3;2;2;1;3
0.4057896172;0.2716042319;0.2764352895;0.36;0.5;0.65;0.8;0.89;0.6;4;3;2;3
0.3153649903;0.1370436251;0.2205494540;0.76;0.8;0.63;0.7;0.38;0.7;2;3;2;3
0.1569425417;0.1295322156;0.1759455697;0.42;0.6;0.90;0.8;0.29;0.5;3;4;4;1
0.1814514662;0.2745977135;0.2557611075;0.30;0.4;0.89;0.6;0.44;0.7;3;1;2;2
0.1495548795;0.1540057185;0.3082418860;0.75;0.4;0.62;0.3;0.16;0.8;3;2;3;3
0.4594271302;0.2051458432;0.2026144003;0.32;0.3;0.45;0.5;0.33;0.3;4;2;3;2
0.1980005037;0.1403195675;0.1260114184;0.53;0.8;0.58;0.4;0.90;0.8;3;3;3;3
0.5499044654;0.1379232474;0.2397281325;0.88;0.8;0.33;0.8;0.17;0.6;4;1;2;4
0.1245554961;0.1435526526;0.1398102249;0.95;0.4;0.59;0.6;0.34;0.4;3;3;3;4
0.2786820202;0.1170071947;0.3556528620;0.11;0.8;0.50;0.6;0.64;0.8;1;3;2;3
0.0982490153;0.2279754792;0.3374043130;0.16;0.7;0.65;0.7;0.61;0.4;2;2;3;1
0.0955878077;0.1471161327;0.1712948823;0.13;0.3;0.48;0.4;0.67;0.4;2;1;4;1
0.5112390052;0.1371750716;0.2898347756;0.66;0.6;0.62;0.7;0.57;0.6;2;4;4;2
0.1501795961;0.2614320900;0.2404125460;0.18;0.7;0.92;0.4;0.67;0.6;2;2;3;2
0.1457204418;0.2665814009;0.2961388364;0.17;0.6;0.57;0.8;0.64;0.3;2;1;4;2
0.4320095897;0.2923719113;0.2968395132;0.16;0.3;0.13;0.6;0.72;0.6;1;3;4;4
0.4102106968;0.1753664904;0.2447420953;0.58;0.5;0.11;0.4;0.92;0.4;2;3;3;4
0.0690502044;0.2319067182;0.3379515077;0.62;0.4;0.17;0.5;0.79;0.5;4;3;2;1
0.0662916326;0.2422528765;0.2779886189;0.11;0.6;0.79;0.6;0.96;0.5;3;3;3;4
0.3696409832;0.1994859218;0.1941283649;0.75;0.8;0.63;0.3;0.44;0.8;1;4;2;1
0.3792240140;0.1094694902;0.2951788314;0.64;0.5;0.39;0.4;0.29;0.4;1;2;2;1
0.1173534384;0.2199333725;0.2773063291;0.72;0.4;0.94;0.6;0.27;0.5;4;1;3;4
0.1576365328;0.2671509099;0.2234713457;0.54;0.7;0.34;0.4;0.95;0.7;1;1;4;4
0.3717852558;0.1223182673;0.3382110851;0.79;0.4;0.49;0.8;0.15;0.5;2;4;4;4
0.5314654818;0.1202854951;0.3560768059;0.29;0.7;0.33;0.5;0.46;0.7;4;1;4;1
0.5272829666;0.2314719656;0.1933943661;0.39;0.4;0.55;0.6;0.58;0.7;1;4;1;3
0.3247857006;0.1225611335;0.1443251773;0.35;0.4;0.91;0.5;0.56;0.6;3;2;1;3
0.3662864338;0.2017870902;0.2735722565;0.51;0.7;0.64;0.5;0.42;0.6;2;3;2;1
0.2524205338;0.2655694501;0.2998964227;0.92;0.4;0.94;0.5;0.79;0.3;1;3;1;3
0.5077614237;0.2053138117;0.3504711197;0.25;0.6;0.26;0.3;0.76;0.4;1;1;1;2
0.3072884642;0.1505785353;0.1553339612;0.70;0.6;0.63;0.5;0.82;0.6;2;3;4;3
0.2371746702;0.1727781226;0.1063041222;0.80;0.7;0.24;0.5;0.80;0.8;2;1;4;3
0.2119954055;0.1362203569;0.2749791719;0.52;0.3;0.36;0.7;0.94;0.5;3;1;3;4
0.1791105148;0.1199068477;0.3440848844;0.19;0.5;0.15;0.6;0.11;0.6;2;1;2;2
0.2348785871;0.2762338394;0.1157077763;0.39;0.8;0.75;0.8;0.46;0.3;1;3;2;1
0.0942666629;0.1615488062;0.1467490121;0.49;0.8;0.89;0.7;0.87;0.4;2;2;2;1
0.1636303903;0.1662385941;0.0819750292;0.50;0.5;0.23;0.4;0.67;0.4;2;2;4;3
0.0918455548;0.1260211619;0.1242850871;0.24;0.6;0.96;0.4;0.54;0.5;2;4;3;1
0.3996393346;0.2561792484;0.2888778124;0.16;0.5;0.14;0.7;0.22;0.5;3;2;3;3
0.3523240509;0.2051511140;0.3002907988;0.64;0.4;0.32;0.8;0.59;0.5;4;1;2;3
0.4021590297;0.2364572938;0.2829470114;0.54;0.7;0.70;0.5;0.21;0.4;4;2;4;4
0.0986938346;0.2445266069;0.3378560031;0.36;0.5;0.95;0.8;0.20;0.7;2;3;4;3
0.1783373498;0.2635874323;0.2298806641;0.89;0.7;0.81;0.5;0.94;0.6;1;1;3;1
0.5144112594;0.2054321055;0.1782452611;0.81;0.8;0.68;0.7;0.70;0.6;4;4;4;2
0.3887525148;0.1140067570;0.2194955379;0.83;0.8;0.46;0.3;0.44;0.5;4;2;3;4
0.3095739435;0.2014450915;0.1763398180;0.50;0.6;0.21;0.4;0.25;0.6;1;2;1;3
0.2997387270;0.2923431508;0.0856472374;0.45;0.3;0.27;0.4;0.72;0.4;4;4;2;2
0.3774697393;0.2346099441;0.1775236835;0.88;0.6;0.15;0.6;0.58;0.4;3;3;1;3
0.3108996571;0.2547530100;0.2586870693;0.75;0.6;0.29;0.5;0.64;0.7;1;2;2;2
0.1081791633;0.1233359742;0.1413213314;0.73;0.3;0.66;0.8;0.84;0.4;4;4;2;2
0.3853384513;0.1201025448;0.2828472296;0.23;0.7;0.27;0.5;0.85;0.4;1;4;3;2
0.0774494801;0.1225636331;0.3267212993;0.78;0.5;0.37;0.6;0.26;0.6;4;4;4;4
0.4532750523;0.1780359317;0.3613304113;0.66;0.4;0.24;0.5;0.54;0.6;1;2;3;3
0.5420364230;0.1781873920;0.2689473965;0.86;0.4;0.68;0.8;0.13;0.6;4;4;1;3
0.5119586255;0.1301148507;0.0903590956;0.91;0.6;0.96;0.4;0.95;0.4;1;3;2;4
0.2384230894;0.2197120153;0.1737691465;0.86;0.7;0.63;0.3;0.13;0.8;1;3;4;3
0.2616060622;0.1936395879;0.3040789426;0.82;0.5;0.21;0.7;0.24;0.8;3;3;1;2
0.1096147270;0.2748691358;0.2585491856;0.89;0.7;0.14;0.5;0.64;0.5;3;4;1;4
0.3726674289;0.1950685265;0.2508855723;0.68;0.7;0.75;0.7;0.31;0.7;2;3;4;3
0.1617985515;0.2080539909;0.3001923896;0.38;0.3;0.96;0.4;0.48;0.7;2;1;3;1
0.0726640035;0.1137166192;0.3503225215;0.32;0.7;0.32;0.5;0.51;0.5;4;1;1;2
0.4760213129;0.1351523792;0.0813005381;0.64;0.6;0.14;0.5;0.69;0.6;4;3;3;3
0.3917087964;0.2492757485;0.2079300251;0.40;0.6;0.12;0.4;0.19;0.5;3;2;1;4
0.2647003891;0.2774380480;0.0815518578;0.21;0.5;0.39;0.6;0.88;0.4;3;4;3;2
0.2141980601;0.2924706038;0.1936672475;0.47;0.6;0.44;0.4;0.82;0.3;4;4;3;4
0.2582155994;0.2301579475;0.1900818894;0.57;0.6;0.77;0.5;0.35;0.4;3;1;3;4
0.4198092155;0.1795029965;0.0724960252;0.42;0.3;0.72;0.6;0.78;0.4;3;3;3;3
0.5362898085;0.1683531998;0.2732714966;0.11;0.7;0.33;0.7;0.32;0.7;2;1;3;4
0.1719209446;0.2818371752;0.0692423731;0.43;0.8;0.93;0.6;0.26;0.8;4;4;4;1
0.4428122723;0.1826683906;0.2725312753;0.37;0.5;0.96;0.5;0.56;0.8;2;1;3;3
0.2423630302;0.2362813170;0.3323861600;0.84;0.4;0.67;0.5;0.35;0.8;3;4;1;3
0.4802185267;0.2876403213;0.2893817647;0.16;0.6;0.64;0.3;0.43;0.7;4;4;4;2
0.1609893522;0.1496972290;0.1309549474;0.83;0.7;0.39;0.8;0.22;0.5;4;2;1;4
0.4592319426;0.1707836007;0.2331197066;0.82;0.7;0.27;0.7;0.94;0.6;2;2;3;4
0.3181032523;0.2006066837;0.1039780496;0.38;0.6;0.45;0.4;0.73;0.4;1;2;4;4
0.4909406603;0.1349273603;0.2050166187;0.54;0.8;0.62;0.4;0.72;0.6;1;4;4;4
0.3525695433;0.2664463914;0.3379386181;0.66;0.8;0.49;0.6;0.16;0.5;3;1;2;4
0.1412413575;0.1320962290;0.2491545278;0.12;0.4;0.90;0.6;0.27;0.6;4;2;1;1
0.2423506789;0.2727863949;0.2643827364;0.19;0.6;0.42;0.7;0.67;0.5;1;3;1;2
0.5775391160;0.2567965237;0.1097491360;0.68;0.5;0.60;0.6;0.31;0.5;1;3;3;4
0.4342779367;0.1693066336;0.1445065618;0.24;0.3;0.61;0.5;0.68;0.4;4;3;4;3
0.1151111320;0.1880600638;0.2985428793;0.62;0.3;0.41;0.5;0.15;0.6;1;2;1;1
0.2528833312;0.2672732758;0.3331896777;0.64;0.7;0.27;0.4;0.45;0.7;3;2;1;1
0.3215028618;0.1990304391;0.1912018205;0.95;0.8;0.85;0.4;0.46;0.4;3;2;4;3
0.2234015213;0.1839151390;0.2791420425;0.38;0.5;0.43;0.7;0.79;0.7;2;3;4;2
0.2308052753;0.2255796375;0.1315337747;0.67;0.4;0.68;0.8;0.65;0.8;3;1;3;2
0.1303958952;0.2656312182;0.2224706191;0.37;0.8;0.70;0.8;0.95;0.7;3;3;1;3
0.5661147013;0.2063205465;0.1851175078;0.36;0.7;0.93;0.8;0.22;0.8;2;3;2;2
0.3363122775;0.1264920011;0.1908961980;0.14;0.3;0.55;0.8;0.51;0.7;1;1;4;3
0.1916317966;0.2356066531;0.2810217200;0.82;0.5;0.24;0.6;0.48;0.4;1;2;2;2
0.1277850875;0.1896449173;0.2493085651;0.72;0.4;0.54;0.7;0.85;0.4;2;4;1;1
0.4087123120;0.1266650663;0.1064807949;0.44;0.7;0.89;0.7;0.41;0.6;2;3;4;4
0.5530322017;0.2466403869;0.1585412767;0.68;0.5;0.41;0.3;0.95;0.3;2;4;2;4
0.2656950036;0.2380821769;0.2379694462;0.11;0.5;0.30;0.4;0.41;0.3;4;1;3;2
0.4698403316;0.1519318586;0.0917413768;0.14;0.3;0.94;0.4;0.76;0.5;1;3;4;3
0.1155671698;0.2449148116;0.1933662208;0.22;0.4;0.61;0.6;0.65;0.6;2;4;2;2
0.4769041876;0.2688647808;0.2610807672;0.16;0.8;0.63;0.6;0.84;0.5;4;4;1;2
0.5765682069;0.2401156214;0.2976951954;0.21;0.4;0.58;0.5;0.27;0.7;2;2;3;2
0.5393425818;0.2322526822;0.3087744825;0.38;0.5;0.95;0.4;0.84;0.7;3;1;2;4
0.5821879883;0.2877646991;0.1291838870;0.47;0.6;0.45;0.4;0.20;0.3;1;3;3;3
0.2600480458;0.2680339101;0.2510461090;0.84;0.7;0.69;0.7;0.38;0.5;2;1;1;3
0.2696969989;0.1133715393;0.2879268537;0.43;0.6;0.74;0.4;0.53;0.5;1;2;1;1
0.1998438930;0.1298695708;0.1708166768;0.89;0.4;0.72;0.3;0.92;0.5;3;1;3;4
0.5335113330;0.2477444466;0.1157309600;0.50;0.7;0.31;0.3;0.91;0.8;2;2;3;2
0.3050437226;0.1627911130;0.2855637995;0.43;0.4;0.34;0.5;0.94;0.5;2;1;3;4
0.2004000394;0.1186499648;0.2143531380;0.16;0.5;0.52;0.5;0.41;0.5;1;3;4;1
0.3760971130;0.2924626136;0.0799978637;0.12;0.7;0.50;0.4;0.72;0.6;4;2;3;1
0.1189166856;0.2214459258;0.2212314934;0.18;0.6;0.30;0.3;0.70;0.7;1;1;2;3
0.4523040827;0.1720578420;0.1484085380;0.65;0.6;0.88;0.8;0.52;0.6;4;1;3;1
0.4233561758;0.2579732356;0.3510761170;0.84;0.7;0.20;0.8;0.76;0.5;3;4;3;1
0.1602177238;0.1637503272;0.2625498418;0.44;0.8;0.85;0.7;0.30;0.6;2;3;1;1
0.5546012041;0.1812698242;0.3040562344;0.75;0.5;0.65;0.4;0.47;0.4;3;1;3;3
0.2137427320;0.1110975698;0.2434287289;0.18;0.7;0.57;0.3;0.54;0.4;3;2;2;1
0.4962064838;0.1853313284;0.2083350081;0.51;0.6;0.80;0.5;0.66;0.5;3;2;1;2
0.3914776409;0.1853193816;0.3367693908;0.23;0.5;0.86;0.7;0.10;0.7;1;3;2;1
0.3394289140;0.1435410641;0.1203442778;0.56;0.4;0.33;0.6;0.76;0.5;4;3;1;4
0.3490064403;0.1106224411;0.3123441555;0.69;0.4;0.43;0.5;0.97;0.3;3;2;2;1
0.2205241220;0.1647145202;0.0743507963;0.56;0.6;0.20;0.5;0.91;0.8;2;2;1;3
0.4633312984;0.2155972940;0.2807413011;0.46;0.4;0.59;0.6;0.46;0.5;2;1;3;1
0.2358846809;0.1240677853;0.1056143323;0.80;0.3;0.40;0.7;0.13;0.5;1;2;1;3
0.2697979438;0.1983516035;0.2070531631;0.46;0.7;0.54;0.7;0.21;0.7;2;2;2;2
0.3222750553;0.2453039142;0.1366928840;0.19;0.4;0.50;0.3;0.39;0.4;2;1;3;3
0.2772629560;0.1825746311;0.1320824306;0.85;0.5;0.71;0.7;0.80;0.7;2;4;2;2
0.5625332590;0.1130240873;0.2483879168;0.52;0.4;0.58;0.6;0.25;0.4;4;1;2;3
0.5289963530;0.1181088683;0.1070637089;0.43;0.5;0.41;0.5;0.37;0.7;2;1;2;1
0.1493071050;0.1981697857;0.2232544097;0.84;0.5;0.47;0.4;0.72;0.3;2;3;1;3
0.1267935900;0.1559558060;0.1660781241;0.46;0.4;0.17;0.5;0.87;0.3;4;4;1;1
0.4144974006;0.2126792291;0.2197307093;0.77;0.4;0.54;0.7;0.40;0.6;1;1;3;1
0.0865866215;0.2153899330;0.0825910955;0.45;0.6;0.26;0.7;0.19;0.8;4;1;3;3
0.5441008170;0.1417026809;0.1348770313;0.62;0.4;0.13;0.4;0.55;0.5;1;4;1;3
0.4225075373;0.2580192673;0.2487641258;0.68;0.3;0.92;0.6;0.31;0.7;1;1;4;2
0.2269763668;0.2288526421;0.1326083369;0.87;0.8;0.17;0.7;0.17;0.7;2;2;1;3
0.2157445123;0.1843820123;0.2374297832;0.49;0.6;0.39;0.7;0.32;0.8;1;2;1;3
0.2395448062;0.2631940502;0.3554704807;0.32;0.7;0.43;0.7;0.55;0.4;1;4;4;2
0.2873647002;0.2129954872;0.2161687005;0.74;0.3;0.85;0.3;0.78;0.6;1;1;2;1
0.4780381224;0.2096641921;0.3605704094;0.73;0.7;0.60;0.8;0.10;0.5;2;4;1;3
0.1145057897;0.1684089836;0.3152303805;0.45;0.7;0.83;0.6;0.76;0.5;1;1;4;4
0.2278052319;0.2369909231;0.0734166837;0.37;0.6;0.10;0.7;0.95;0.5;3;2;3;3
0.4128043567;0.2600412869;0.2840458486;0.44;0.7;0.24;0.5;0.92;0.5;1;2;3;2
0.1060843009;0.1466666139;0.1232145404;0.63;0.8;0.75;0.4;0.64;0.7;3;2;1;1
0.2824630668;0.1597867855;0.1858245355;0.74;0.6;0.96;0.4;0.15;0.3;1;4;2;1
0.2575035502;0.2088990969;0.2259586465;0.15;0.5;0.28;0.7;0.23;0.6;2;2;4;3
0.4961165562;0.1988748516;0.1376773504;0.43;0.7;0.87;0.5;0.18;0.7;1;1;1;3
0.4688558316;0.2700983630;0.0794076702;0.88;0.4;0.95;0.6;0.23;0.4;1;4;1;2
0.2762534837;0.2500145397;0.1097692015;0.33;0.6;0.77;0.7;0.64;0.4;3;4;2;4
0.4243537695;0.1427941917;0.2785392623;0.67;0.7;0.58;0.6;0.40;0.4;4;3;4;4
0.0659391400;0.1971188253;0.1846555122;0.15;0.8;0.19;0.6;0.74;0.3;4;2;2;4
0.1413790739;0.1629323353;0.0723473989;0.89;0.5;0.73;0.3;0.38;0.7;2;4;4;3
0.4518042052;0.2201147235;0.1722079550;0.36;0.7;0.67;0.5;0.34;0.7;3;3;4;3
0.2647209159;0.1317090528;0.2407047502;0.56;0.6;0.55;0.7;0.48;0.6;2;3;4;4
0.4854169596;0.2175433552;0.2316506665;0.52;0.8;0.76;0.4;0.52;0.6;3;4;3;3
0.2451431911;0.1297913077;0.1020446844;0.52;0.4;0.57;0.5;0.71;0.7;2;3;4;3
0.3271920163;0.1126679037;0.3564495526;0.27;0.7;0.65;0.7;0.17;0.6;2;3;2;2
0.1757256364;0.1500713242;0.0915246795;0.54;0.4;0.87;0.8;0.26;0.4;1;2;1;3
0.1522837935;0.2442932441;0.2893410103;0.60;0.7;0.24;0.6;0.72;0.4;2;4;1;3
0.5758097037;0.2774315506;0.1320811759;0.68;0.5;0.20;0.6;0.69;0.3;3;2;3;1
0.0701190433;0.2020815359;0.2097041560;0.27;0.6;0.84;0.5;0.58;0.7;4;1;2;4
0.1937467269;0.1959514633;0.2006382736;0.56;0.5;0.65;0.7;0.87;0.8;2;2;3;3
0.0988969982;0.2412453122;0.2072594963;0.71;0.6;0.23;0.5;0.84;0.7;2;1;2;1
0.5240705155;0.2126720591;0.0931281646;0.92;0.4;0.61;0.7;0.66;0.7;1;2;4;1
0.2133146035;0.2848847047;0.3410411290;0.69;0.5;0.82;0.6;0.16;0.6;1;4;4;4
0.1497850527;0.1684883044;0.0875756390;0.92;0.6;0.59;0.5;0.96;0.6;4;2;1;2
0.3091198091;0.1586841413;0.1521374543;0.63;0.6;0.48;0.5;0.95;0.3;1;4;1;4
0.2615905250;0.2390135262;0.1254186440;0.64;0.7;0.22;0.6;0.78;0.8;2;4;4;3
0.1427399009;0.2871501813;0.2018969331;0.45;0.6;0.83;0.5;0.58;0.6;3;1;1;1
0.2675539026;0.2144855053;0.2771332758;0.40;0.7;0.19;0.6;0.76;0.7;2;2;3;1
0.4850836874;0.1202083089;0.1254458179;0.70;0.5;0.65;0.7;0.25;0.6;1;2;2;4
0.2720827208;0.1406658389;0.1314526177;0.45;0.4;0.11;0.5;0.10;0.7;2;1;2;3
0.5751948126;0.1593720582;0.1826133736;0.14;0.3;0.54;0.5;0.19;0.7;4;2;2;4
0.1338295558;0.1724455260;0.3080447059;0.90;0.4;0.57;0.7;0.60;0.5;4;3;1;4
0.5398384780;0.1573060826;0.1443110772;0.79;0.7;0.79;0.3;0.23;0.7;2;1;3;4
0.3473519055;0.1289712266;0.0949817132;0.56;0.6;0.42;0.4;0.89;0.7;1;3;3;3
0.5193548361;0.1803675404;0.3397752571;0.44;0.4;0.83;0.7;0.81;0.4;2;1;4;1
0.0914780439;0.2515447268;0.1522500803;0.30;0.5;0.58;0.6;0.51;0.7;2;4;4;2
0.0929859950;0.1265219851;0.1355776665;0.31;0.6;0.56;0.7;0.95;0.6;3;3;4;4
0.3519298935;0.1357135467;0.3612688646;0.74;0.6;0.89;0.3;0.52;0.3;2;3;2;1
0.1424861681;0.2276552660;0.1880211596;0.69;0.5;0.61;0.6;0.57;0.6;2;3;3;2
0.2469878335;0.2910211831;0.1972845810;0.94;0.4;0.12;0.4;0.15;0.4;2;1;2;2
0.3086994996;0.2662322682;0.1201789870;0.17;0.6;0.46;0.4;0.38;0.3;2;2;1;2
0.3462443158;0.1377623096;0.0858959121;0.35;0.6;0.20;0.7;0.90;0.5;4;2;4;4
0.0939437805;0.1408146003;0.1229653756;0.39;0.4;0.44;0.8;0.13;0.7;3;4;2;4
0.3589162578;0.1387352965;0.2954806181;0.66;0.5;0.74;0.5;0.77;0.6;4;1;2;1
